,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300736,百华悦邦,0.72,-6.49,3.66,21.42,0.45,2877.45,-6.39,10派5,12-26
1,002923,润都股份,0.79,0.0,3.64,23.71,0.77,5951.99,0.27,,12-18
2,002921,联诚精密,,,,15.44,0.71,4860.89,56.35,,12-13
3,603329,上海雅仕,,,,22.41,1.04,6684.79,17.78,,12-12
4,002922,伊戈尔,0.29,-36.96,3.1,7.29,0.91,2609.16,-36.68,,12-12
5,603080,新疆火炬,0.96,47.69,1.78,50.76,0.86,8907.46,48.29,,12-12
6,603655,朗博科技,0.56,-1.75,3.28,18.57,0.47,3511.15,-1.86,,12-11
7,300735,光弘科技,,,,16.97,,6899.0,83.98,,12-11
8,300684,中石科技,0.89,21.74,4.48,26.06,1.33,5523.02,26.95,,12-06
9,603283,赛腾股份,1.19,466.67,11.12,140.81,12.34,13287.0,469.72,,12-05
10,002920,德赛西威,,,,29.07,,16552.51,64.34,,12-05
11,002918,蒙娜丽莎,0.68,21.43,,23.35,1.0,7695.05,20.37,,11-29
12,002919,名臣健康,,,3.14,19.32,0.43,3178.62,51.87,,11-29
13,300732,设研院,0.83,-67.32,27.97,9.08,1.76,3719.93,-67.46,,11-28
14,603477,振静股份,0.18,,,14.48,-1.33,2518.87,,,11-28
15,603161,科华控股,0.75,,,27.45,0.34,5969.55,78.11,,11-27
16,603890,春秋电子,,,1.97,33.25,0.64,5669.21,60.72,,11-21
17,002917,金奥博,,,,25.13,,2904.9,100.56,,11-21
18,300731,科创新源,0.93,2.2,1.83,64.17,0.73,5606.92,79.86,,11-20
19,300730,科创信息,0.2,17.65,1.69,12.43,0.54,1401.5,16.06,,11-14
20,002915,中欣氟材,0.43,-14.0,2.05,17.08,0.86,2809.82,-12.89,,11-14
21,603917,合力科技,0.71,44.24,3.22,24.33,0.27,5936.98,45.24,,11-14
22,603848,好太太,,,,41.47,,11178.82,32.76,,11-13
23,300729,乐歌股份,0.45,-23.73,3.38,14.11,0.42,2719.0,-22.82,,11-13
24,002913,奥士康,,,,32.16,0.49,13165.83,98.43,,11-13
25,603711,香飘飘,0.51,0.0,5.02,26.42,1.22,18527.11,0.6,,11-13
26,002912,中新赛克,1.82,35.82,8.01,26.44,0.51,7833.65,36.82,,11-07
27,300727,润禾材料,,,,23.06,,3113.89,28.92,,11-07
28,603685,晨丰科技,,,6.89,17.13,1.13,2711.26,-4.29,,11-06
29,603365,水星家纺,0.75,17.19,,20.58,-0.41,11529.25,16.69,,10-31
30,002911,佛燃股份,0.61,12.96,2.71,24.57,1.19,30539.12,13.8,,10-31
31,603661,恒林股份,1.62,100.0,,28.12,2.61,12180.02,101.4,,10-31
32,300726,宏达电子,2.38,48.83,8.33,32.19,0.86,14156.7,77.28,,10-31
33,603970,中农立华,0.81,1.79,2.45,34.77,0.4,8071.89,17.45,,10-30
34,300725,药石科技,,,2.05,28.22,0.28,2247.15,23.15,,10-30
35,300723,一品红,,,1.42,20.42,0.1,4031.01,22.18,,10-30
36,600933,爱柯迪,,,,32.23,,25539.08,10.02,,10-30
37,601019,山东出版,0.51,21.43,2.07,27.77,0.48,93696.13,27.67,,10-30
38,603076,乐惠国际,1.01,6.32,3.16,37.87,1.28,5052.62,6.31,,10-30
39,300722,新余国科,,,3.33,23.42,0.57,2225.72,25.37,,10-27
40,603605,珀莱雅,1.05,-11.76,,37.43,1.24,15821.62,-11.21,,10-25
41,002864,盘龙药业,0.62,21.57,,17.49,0.75,4007.24,21.82,,10-25
42,300717,华信新材,0.66,1.54,4.13,17.37,0.51,3167.86,1.3,,10-24
43,300721,怡达股份,0.43,-690.33,5.61,7.93,0.18,2128.44,-690.48,10派0.3,10-24
44,300720,海川智能,0.58,-24.68,3.29,18.84,0.8,3146.69,-24.44,,10-24
45,603916,苏博特,0.14,-93.97,3.92,4.89,0.22,2295.14,-87.63,,10-23
46,603083,剑桥科技,0.98,1860.0,6.07,17.59,4.06,7360.77,1793.89,,10-23
